German	जर्मन
and strengthening	र सुदृढ
Robertson and	डेभिड
and appreciation	प्रसंशा
received permission	स्वीकृति प्राप्त
patents for	पेटेन्ट
the treaties	सन्धि
than 35	४० भन्दा बढी
other health	अन्य स्वास्थ्य
the impressive	शानदार
language school	भाषा कक्षा
clinics and	क्लिनिक
accreditation of	मेडिकल काउन्सिलले
during all	बेला सबै
and flower	फूल
private house	निजी घर
their behalf	पनि आफ्नो तर्फबाट
very serious	निकै गम्भीर
medical director	अस्पतालका निर्देशक
of Allah	अल्लाह
and exciting	रोमाञ्चक
or outside	वा बाहिर
by Julius	गिरीको
Rights Commission	मानवअधिकार आयोग
st Augustine	पशुपती
constructed using	प्रयोग गरेर निर्माण
first party	पहिलो पार्टी
media research	मिडिया अध्ययन
national elections	राष्ट्रिय सभाको निर्वाचनमा
new English	अंग्रेजी नयाँ
nearer to	मास्तिर
Japanese aircraft	चिनियाँ जहाज
or personal	वा व्यक्तिगत
a dull	फिका
various social	विभिन्न सामाजिक
ancient monument	प्राचीन स्मारक
this provision	यो व्यवस्था
Security Advisor	सुरक्षा सल्लाहकार
active participation	सक्रिय सहभागिता
work after	काम गरेपछि
psychiatrist and	मनोचिकित्सक
the GDP	प्रतिशतको आर्थिक वृद्धिदर
first experience	पहिलो अनुभव
the inscriptions	कुँदिएको
the lips	ओठ
of gwynedd	ताकम
the Frontier	इस्ट
four divisions	तीन तहमा
my house	मेरो घर
special service	विशेष सेवा
peaceful and	र शान्तिपूर्ण
availability and	उपलब्धता र
physical training	शारीरिक तालिम तथा
reduction and	घटाउने र
waste water	फोहोर पानी
hanging on	डोरीले
the factories	कारखाना
this behavior	यस्तो व्यवहार
and Tyler	डेनियल
news conference	समाचार क्षेत्रीय
other foreign	अन्य विदेशी
the mythological	पौराणिक
at intervals	फरकमा
premise that	कुराको पनि
texture and	र चिल्लो
months until	महिना देखि
Miley Cyrus	चोपडा
Hindus and	धर्मावलम्बी
development work	विकास गर्ने काम
and reduces	घटाउँछ
and Edith	सर्मिला
journey and	यात्रा र
the competitions	प्रतियोगिता पनि
the gypsy	झुमा
this she	उनी यो
and uk	र बेलायतमा
indicators of	सूचकमा
until 2	२ देखि ३
other member	अन्य सदस्य
the specifications	ढाँचा
the facial	अनुहारको
year long	वर्ष लामो
programme that	त्यो कार्यक्रम
agricultural college	कृषि क्याम्पस
my work	मेरो काम
some authorities	सरकारले धेरै
the declining	खस्किएको
then all	त्यसपछि सबै
boycotted the	बहिस्कार
fined £	लाख रुपैयाँ जरिवाना
pharmacy and	फार्मेसी
and Owen	डम्मर
life saving	जीवन बचाउन
friend is	साथी हो
as t	एसडी
Novak Djokovic	नोभाक
scenes that	त्यो दृश्य
commissioner and	महानिर्देशक
sprinkled with	डढेको
fulfilling the	पनि पूरा
12 times	८ पटक
which comprised	त्यसमध्ये पनि
political pressure	राजनीतिक दबाब र
Indian army	भारतीय सेना
ensured the	गर्ने दाउमा
forwarded to	बुझाइएको
air services	वायु सेवा
of terrestrial	भु
yellow card	पहेंलो कार्ड
conference centre	सम्मेलन केन्द्र
police investigation	प्रहरी अनुसन्धान
reconciled with	मिल्नुपर्छ
steep slopes	भिरालो
in Middletown	बनेपा
entering service	सेवा प्रवेश
his subordinates	गुटका
the Al	अल
Mongolia and	मंगोलिया
presented Credentials	मिडिया एनपीप्रकाशित मिति
this love	यो माया
proposal that	त्यो प्रस्ताव
showcasing the	झल्काउने
in Evanston	दमक
the charente	सिन्धुपाल्चोकमा
bowler who	बलर
new laws	नयाँ ऐन
new methods	नयाँ तरिका
certificate and	र प्रमाणपत्र
fluctuations in	वृद्धिले
main sponsor	मुख्य प्रायोजक
located in the	अवस्थित
of the population	जनसंख्यामा
in the world	विश्व
years of age	वर्ष उमेर
village in the	गाउँ गाउँ
parts of the	भागहरु
the majority of	बहुसंख्यक
place in the	पनि स्थान
is the first	पहिलो हो
second world war	दोस्रो विश्व युद्ध
and the first	पहिलो र
the second world	दोस्रो विश्व
the district of	जिल्लाको
and is the	हो र
and the average	औसत
the rank of	दर्जा
the first two	पहिलो दुई
National Football League	राष्ट्रिय लिग फुटबल
in the northern	उत्तरी
to reach the	पुग्नु
the existence of	अस्तित्वमा
shortly after the	पनि नबित्दै
to leave the	छाड्नु
the first season	सिजनको पहिलो
the National Football	राष्ट्रिय फुटबल
is the main	मुख्य हो
and died in	निधन
behalf of the	तर्फबाट पनि
his career as	करिअरको
the most famous	प्रख्यात
started his career	करियर
after the first	पछि पहिलो
the 2010 Census	जनगणनाअनुसार
and joined the	बनेका र
killed in the	मारिएका
one of their	आफ्नो एक
in partnership with	साझेदारीमा
the democratic party	लोकतान्त्रिक पार्टी र
in the previous	पनि अघिल्लो
the top 10	टप १०
settlement in the	साविकको
the world and	र विश्व
of the ancient	प्राचीन
the company is	कम्पनी हो
research and development	अनुसन्धान र विकास
the high court	उच्च अदालतमा
the main character	पनि मुख्य भूमिकामा
and more than	भन्दा पनि बढी
seasons in the	सिजन
of the constitution	पनि संविधानको
and the American	अमेरिकन
sections of the	खण्ड र
the request of	अनुरोधमा
and during the	बेला र
the first person	पहिलो व्यक्ति
Department of education	शिक्षा मन्त्रालय र
is regarded as	मानिन्छ
conjunction with the	र सहकार्यमा
to celebrate the	मनाउनु
in their first	आफ्नो पहिलो
the first edition	पहिलो संस्करण
government of India	भारत सरकार
after the second	पछि दोस्रो
and the surrounding	वरपरको
Trinidad and Tobago	पपुवा
the jurisdiction of	पनि प्रदेशको
and the National	र राष्ट्रिय
the first floor	पहिलो तलामा
the founder and	संस्थापक र
and the British	र बेलायती
the canton of	गाउपालिकाको
since the early	देखिनै
played the role	भूमिका खेलेका
stages of the	चरण र
large numbers of	पनि ठूलो संख्यामा
in the Caribbean	क्यारेबियन
component of the	घटक
this time the	यो समय
oil and gas	तेल र ग्यास
women and children	महिला बालबालिका
and played in	खेलेका
the church and	चर्चको
radio and television	टेलिभिजन र रेडियो
the inhabitants of	घरधुरी
to remove the	हटाउनु
and South America	दक्षिण अमेरिका
the new world	नयाँ विश्व
the spread of	फैलिएको
the first one	पहिलो एक
boys and girls	केटीहरु
and human rights	र मानव अधिकारको
arrived in the	आइपुगे
and the final	र अन्तिम
her role as	मेरो भूमिका
the war and	युद्ध
and the main	र मुख्य
one of many	एक धेरै
integral part of	अभिन्न
connected with the	पनि जोडिएको
partnership with the	साझेदारीको
preparation for the	तयारीको
continued to work	निरन्तर काम
that the first	त्यो पहिलो
due to lack	नहुनुले
the first film	पहिलो फिल्म
colleges and universities	कलेजहरु
the main entrance	प्रवेशद्वार
to defend the	उभिनु
was designated as	रहेकामध्ये
she participated in	उनी सहभागी
most of their	आफ्नो सबैभन्दा
in the gulf	तटीय
were the only	मात्र थिए
the first book	पहिलो पुस्तक
east and west	र पश्चिम
near the village	गाउँ नजिकै
the National Council	राष्ट्रिय परिषद्
of the era	कालको
the world bank	विश्व बैंक
to discuss the	छलफल गर्नु
in the open	खुल्ला
in his hometown	गृहनगर
the northern territory	भूभागलाई
and the family	परिवार र
membership of the	सदस्यता प्राप्त
of the common	र प्रचलित
of the metropolitan	प्रदेशकै
the National Institute	राष्ट्रिय प्रतिष्ठान
Department of transportation	यातायात मन्त्रालय र
and the European	युरोपेली
the first week	पहिलो हप्ता
the first phase	वैशाखबाट
remained in operation	सञ्चालनमा रहे पनि
representation of the	पनि प्रतिनिधित्व
and the name	नाम र
the first place	पहिलो स्थान
in the 1880	१९३०
to the all	पर्ने सबै
session of the	मोर्चाका एक
the two teams	दुई टिम
favour of the	र विपक्षमा
returns to the	फर्कन्छ
results in the	नतिजाले
economic and social	आर्थिक र सामाजिक
that the name	त्यो नाम
have been identified	पाइएका
member of parliament	संसद सदस्य
and lived in	बस्दै
placed in a	राख्दा
a hamlet in	गाविसस्थित
to the border	सिमाना र
the work is	काम हो
clubs in the	क्लबहरु
died of cancer	क्यान्सरबाट
there is the	हो भने त्यहाँ
showed that the	पनि देखाएको
and reached the	पुगेको र
the Indian National	भारतीय राष्ट्रिय
and the old	पुरानो र
social and political	सामाजिक र राजनीतिक
into one of	जाँदा एक
to the lack	नसक्नु पनि
knight of the	वयोवृद्ध
third and fourth	चौथो
thirds of the	चौथाइ
in the museum	संग्रहालय
acres of land	बिगाहा
following the end	तोडिएको
of the earlier	अघिको
to a lack	नहुनु पनि
in the entire	पुरै
a very large	पनि निकै ठूलो
three or four	तीन वा चार
islands in the	टापु
world war and	विश्व युद्ध
the system is	प्रणाली हो
the 2009 season	सिजनको
in the surrounding	आसपासको
but lost in	गुमाए पनि
the world trade	विश्व व्यापार
years of service	वर्ष सेवा
the Indian Ocean	आन्ध्र
twice in the	पटक पनि
the Philippines and	फिलिपिन्स र
society and the	बृहद्
in Saudi Arabia	अरेबिया
the central government	सरकारले पूर्व
the second year	दोस्रो वर्ष
were one of	एक थिए
the first six	पहिलो तीन
the limits of	क्षेत्रभित्रको
survey of the	सर्भेक्षण
and the environment	वातावरणको
world health organization	विश्व स्वास्थ्य संगठनको
film director and	फिल्म निर्देशक
the site in	स्थल
and various other	पनि विभिन्न
the chapel of	मन्दिरको
and the entire	र पूरै
significant role in	उल्लेख्य भूमिका
is the capital	राजधानी हो
to become one	एक हुनु
in the temple	मन्दिर पनि
thousands of people	हजारौं मानिस
the road is	बाटो हो
education and training	शिक्षा तथा तालिम
and two other	अन्य दुई
the north west	उत्तरतर्फ
thousands of years	हजारौं वर्ष
the world health	विश्व स्वास्थ्य
of university of	विश्वविद्यालय
to listen to	कुरा सुन्नु
and social sciences	तथा सामाजिक शास्त्र
sites in the	स्थलहरु
Association and the	एसोसिएसनले
ranked in the	सूचिमा
units in the	युनिट
defeat in the	पराजय
village located in	अवस्थित गाउँ
the first international	पहिलो अन्तर्राष्ट्रिय
with the advent	सुरुवातसँगै
in the colony	भक्तपुरलाई
the human body	मानव शरीर
the statue of	मूर्तिलाई
the site and	स्थल र
university of Sydney	पोखरा विश्वविद्यालय
the sun and	सूर्य र
in the historical	ऐतिहासिक
the final four	अन्तिम तीन
the one that	त्यो पनि एक
the Chinese government	सरकार र चिनियाँ
can be divided	विभाजन गर्न सकिन्छ
District in the	नगरपालिकासहित
in the manga	फूल’
and contributed to	खर्चेको
language and literature	भाषा साहित्य
life and death	जीवन र मृत्युको
the first song	पहिलो गीत
minister of education	शिक्षा मन्त्री
school of management	र विद्यालय व्यवस्थापन
and the district	र जिल्लाको
taken out of	ल्याउँदै
the new government	नयाँ सरकार
Bureau of investigation	ब्युरो
one year after	एक वर्ष पछि
the national film	राष्ट्रिय चलचित्र
the ratio of	अनुपात
the shadow of	छाया
and the Australian	अस्ट्रेलियन
in the establishment	स्थापना र
the Indian Army	भारतीय सेनाको
health and human	मानव स्वास्थ्य
the new album	नयाँ एल्बम
he succeeded his	बन्नुभएका
the first meeting	पहिलो बैठक
the first women	पहिलो महिला
in Kuala Lumpur	क्वालालम्पुर
the National Theatre	राष्ट्रिय नाचघरमा
not until the	सम्म कुनै पनि
the new name	नयाँ नाम
the transformation of	रूपान्तरण
and the high	र उच्च
map of the	मानचित्र
journalist and author	स्तम्भकार
towns and villages	गाउँहरू
the knights of	भीमसेन
political and economic	राजनीतिक र आर्थिक
the rise and	पारो
the electoral district	जिल्लाको निर्वाचन
the presidential election	राष्ट्रपति निर्वाचनमा
the international community	अन्तर्राष्ट्रिय समुदाय
social and cultural	सामाजिक र सांस्कृतिक
presented in the	मा प्रस्तुत
in use in	मा प्रयोग
she lived in	बस्दै आएका उनी
cities and towns	शहरहरु
playing the role	भूमिका खेल्न
wrote a letter	पत्र लेखेको
the South China	दक्षिण चीन
and includes the	गरिनेछ र
exploration of the	अन्वेषण
road and the	बाटो र
system and the	प्रणाली पनि
SIGNED WITH THE	गर्नुपर्ने–
the very best	निकै उत्कृष्ट
the literacy rate	साक्षरता दर
and human services	मानव सेवा
the beginnings of	सुरुवात पनि
music and lyrics	गीत संगीत
for the upcoming	प्रतिक्षा
of the Olympic	ओलम्पिक
he contributed to	खर्चिएको
America and Europe	यूरोप
the behest of	महा
after the success	सफलता पछि
the billboard top	टप टेन
against the government	सरकार विरुद्ध
the southern district	जिल्लाको उत्तरी
the duties of	अनुपस्थितिमा
health and social	स्वास्थ्य र सामाजिक
during one of	बेला एक
the park and	पार्क
village development committee	गाउँ विकास समितिमा
and other members	अन्य सदस्यहरु
history and culture	इतिहास र संस्कृति
offices in the	कार्यालयहरू
he then returned	फर्किए
the sea and	समुद्र
replica of the	परिसरमा
Department of health	स्वास्थ्य मन्त्रालय
and supported by	पार्नका
in close proximity	नजिकका
day and night	र रात
summary of the	पेश
welcome to the	खुसीको
of the outer	भागमा
of a given	दिँदा एक
old and new	नयाँ र पुरानो
and economic development	आर्थिक विकास र
the Executive Council	प्रदेश अध्यक्ष
the second level	दोस्रो तहका
of the solar	सौर्य
National Team in	राष्ट्रिय टिम
education and research	शिक्षा अध्ययन
width of the	चौडाई
back to back	एता
from the country	देश बाट
violence against women	महिला हिंसा र
than a dozen	दर्जन भन्दा बढी
in New Hampshire	कीर्तिपुर
and the one	र एक
the culmination of	उत्कर्ष
Lifetime Achievement Award	अवार्डबाट
and proceeded to	लागे र
in the UEFA	विश्वकपको फाइनल
most popular party	लोकप्रिय नेता
does not know	पनि थाहा हुँदैन
trapped in the	पसे
received from the	बाट प्राप्त
won the seat	सिट जितेका छन्
the downtown area	रिङरोड
undergraduate and graduate	स्नातक
is the use	प्रयोग हो
the local area	क्षेत्र र स्थानीय
how to make	कुरा गर्नु र
of the Oregon	क्यालिफोर्नियाको
allocated to the	छुट्याइएको
Indian politician and	भारतीय नेता
of the monument	स्मारकको
to adopt the	फेर्नु
reserved for the	आरक्षित
the film grossed	बक्सअफिसमा
filmed in the	खिचिएको
in the conflict	द्वन्द्वको
the total cost	कुल लागत
Republican to the	डेमोक्र्याटिक
the UK government	बेलायत सरकार
and information technology	सूचना प्रविधि
currently in the	अन्तर्गत
the team also	टिमको
sent a letter	पत्र पठाएका
the International Olympic	अन्तर्राष्ट्रिय ओलम्पिक
Club in the	क्लब
employee of the	एक कर्मचारी
three most popular	एक लोकप्रिय
human rights activist	मानव अधिकारकर्मी
school and college	कलेज
calling for the	गरेकोमा
and helped the	जुटेका
inside and outside	भित्र पनि
coming to the	पनि आउने
the first years	पहिलो वर्ष
and the winner	विजेता
minister of health	स्वास्थ्य मन्त्री
until the age	उमेर देखि
the new constitution	नयाँ संविधानको
human rights violations	मानव अधिकार उल्लंघन
to review the	समीक्षा गर्ने र
and the Spanish	स्पेनी
months in prison	महिना जेल
the structure is	संरचना हो
the other one	अन्य एक
language and culture	भाषा संस्कृति
learn how to	सिकाउनु
stayed at the	बस्नेछन्
was unveiled in	अनावरण
the earth and	पृथ्वीको
and other forms	मिल्दछ
the Indian government	सरकार र भारतीय
and near the	नजिकै
imposed by the	लत्याउँदै
music and dance	नृत्य
brought into the	लैजाँदा
is a left	छाडेको हो
the UEFA Champions	च्याम्पियन्स लिगको फाइनल
descriptions of the	वर्णन
the party is	पार्टी हो
after the incident	घटना पछि
printed in the	छापिएका
of the Connecticut	भीमेश्वर
due to high	कारण उच्च
election and the	र निर्वाचनमा
any type of	कुनै पनि प्रकारको
founder member of	संस्थापक सदस्य
Americans in the	नेपालीहरूले
then proceeded to	लागे पनि
linked with the	टुटेको
after the establishment	स्थापना पछि
governors of the	प्रमुखको
to send the	पठाउनु
the first novel	पहिलो उपन्यास
the Confederation of	एकीकरणका
million tonnes of	लाख टन
and natural gas	प्राकृतिक ग्यास
the two parties	तीन दल र
in 1931 and	2005
in the presidential	राष्ट्रपतीय
this time period	कालखण्ड
the root of	जरामा
Football Club in	फुटबल क्लब
September and October	सेप्टेम्बरको
after the attack	आक्रमण गरेपछि
and only one	र एक मात्र
the security council	सुरक्षा परिषदको
the capital and	राजधानी र
climate change and	जलवायु
created the first	गरिएको पहिलो
overseen by the	संयोजकत्वमा
selection for the	छनौटका
in my heart	मेरो मुटु
of the Buddha	शाक्यमुनि
the Fort was	उग्रतारा
the name change	नाम परिवर्तन
read and write	लेख्नु
festival in the	महोत्सब
facility in the	सेन्टर
in the parliamentary	प्रतिनिधिसभा
reaching the final	चरणमा पुग्न
science fiction film	फिक्सन
the administrative centre	प्रशासनिक केन्द्र
world record in	विश्व रेकर्ड
writer and director	लेखक तथा निर्देशक
language spoken in	बोलिने
but the first	तर पहिलो
running through the	दौडिरहेको
contains only one	तीमध्ये एक
the organization and	सङ्गठनको
to choose the	छान्नु
saved by the	बचाएका
school of government	सरकारी विद्यालय
in economics and	अर्थशास्त्र
and together with	सँग पनि
progress to the	पनि प्रगति
well as providing	पु¥याउनका
the final 6	पनि अन्तिम १६
after completing the	सकेर
in the recent	पनि पछिल्लो
days of our	दिन हाम्रो
the arena football	फुटबल मैदान
of the Delaware	कंचनपुर
Championships in the	च्याम्पियनसिपमा
available for download	डाउनलोड
play the role	भूमिका खेल्नु
and mental health	मानसिक स्वास्थ्य
the nature and	प्रकृति र
to make this	गर्नु यो
that the site	स्थल पनि
that the entire	पनि पुरै
scored one goal	गोल भने
are two types	दुई प्रकारका हुन्छन्
the walls and	पर्खाल
National Security Council	राष्ट्रिय सुरक्षा परिषदको
the ancestors of	पुर्खा
the iucn red	आइयुसिएनको रातो सूची
in South India	भारत र दक्षिण
musician and composer	संगीतकार
the first large	पहिलो ठूलो
wife and two	श्रीमती र दुई
John the evangelist	पास्टर
during the later	ताका
the nation and	र राष्ट्रको
of the millennium	सहस्राब्दी
Department of energy	ऊर्जा मन्त्रालय र
in the townland	फेदाप
she won her	जितेकी
in this village	यो गाउँ
to make use	प्रयोग गर्नु
the new Jersey	नयाँ बानेश्वर
decisions of the	निर्णयहरू
and their two	आफ्नो दुई
the government is	सरकार हो
a small but	सानो तर
osama bin laden	लादेनको
of a nation	एउटा देश
and fought in	लडेका
in Santa Fe	सिटीमा
and the presence	उपस्थिति र
a huge success	ठूलो सफलता
in Belgium and	नेदरल्याण्ड
in the arena	मैदान
the new city	नयाँ शहर
he was twice	पटक उनी
to make any	गर्नु कुनै
one hundred years	करिब एक वर्ष
caps for the	क्याप
Football League in	लिग फुटबल
of the participants	सहभागीहरू
lack of funds	रकम अभाव
stadium in the	रंगशाला
halfway through the	हिँडेपछि
and urban development	र शहरी विकास
and the official	र आधिकारिक
in Israel and	र इजरायल
Knights of the	भवानी
the rebuilding of	पुनर्निर्माण
association football club	फुटबल संघले
the circle of	चौतारीमा
the national health	राष्ट्रिय स्वास्थ्य
university located in	अवस्थित एउटा विश्वविद्यालय
and the association	संघले पनि
art and culture	कला संस्कृति
and the human	पनि मानव
the Victoria and	भिक्टोरिया
the world economic	विश्व आर्थिक
than the first	सबै भन्दा पहिलो
the requirements for	तोकिए पनि
the final stages	अन्तिम चरण
the urging of	ज्ञापन
and against the	बिरुद्धको
were opened in	खोलेका थिए
in the theater	थिएटर
to grow and	रोप्नु
his reputation as	छवी
and the modern	आधुनिक
remains the only	मात्र रहेको र
county located in	अवस्थित एक नगरपालिका
it received the	पाएको यो
and the levant	मध्यपूर्वी
began to study	अध्ययन सुरु
the main protagonist	मुख्य पात्र
batsman who bowled	अर्धशतक
in Colorado Springs	भिल्ला
and other items	सामानहरू
and social justice	सामाजिक न्याय र
accession to the	त्रिभुवनले
of the confederacy	एकीकरणको
estimates of the	अनुमानित
and is only	मात्र हो र
whether they are	हुन्छन् भनेर
the national women	राष्ट्रिय महिला
second consecutive year	लगातार दोस्रो वर्ष
for best female	उत्कृष्ट महिला
the prize money	पुरस्कार रकम
directly or indirectly	वा अप्रत्यक्ष
and shortly after	र लगत्तै
do not use	प्रयोग गर्नुपर्छ
here is the	हो तर यहाँ
one day after	एक दिन पछि
in the mixed	मिश्रित
Arthur Conan Doyle	हिरण्य
in the marvel	टू
secrets of the	रहस्य
connections with the	कनेक्सन
the new system	नयाँ प्रणाली
painter and sculptor	मूर्तिकार
the same age	उमेर पनि
thousands of dollars	लाखौं रुपैयाँ
and ended the	समाप्त भएको र
bank of India	नेपाल बंगलादेश बैंक
than half the	आधा भन्दा बढी
National and international	राष्ट्रिय र अन्तर्राष्ट्रिय
try to get	हाल्नु
trapped in a	पसेपछि
to demolish the	भत्काउनु
pursuant to the	र दफा
lists of the	उल्लेखित
water and sanitation	खानेपानी
in the snow	हिउँ
founder and chairman	संस्थापक अध्यक्ष
but the name	तर नाम
college located in	अवस्थित एक कलेज
received the first	प्राप्त गर्ने पहिलो
of the geological	भौगर्भिक
but the team	टिम पनि
the amazing spider	160
and features the	विशेषताहरु
the first night	पहिलो रात
and between the	र बीचमा
that the country	त्यो देश
satisfied with the	पनि मिलेको
celebrated in the	भव्यताका
this and the	र यो पनि
of the sovereign	राष्ट्रप्रमुख
in the cave	गुफा
and other local	अन्य स्थानीय
unusual in that	पनि अनौठो
in this world	यो विश्व
headquarters and headquarters	मुख्यालय
of the dynasty	वंशका
the first election	निर्वाचनमा पहिलो
most popular and	पनि लोकप्रिय
on that date	आजैको
their place in	आफ्नो स्थान
Civil Liberties Union	लयर्स
and asked for	मागेका
gave a speech	अभिव्यक्ति दिएपछि
between India and	र भारत बीचको
and social services	सामाजिक सेवा
of the apes	सिंग
II of the	त्यसबखत
and international relations	अन्तर्राष्ट्रिय सम्बन्ध र
the earls of	गर्दथे
humanities and social	मानविकी तथा सामाजिक
fruits and vegetables	सागसब्जी
the Bible and	बाइबल
reflection of the	प्रतिबिम्ब
she was arrested	उनी पक्राउ
William the conqueror	प्रधानपञ्च
the geology of	भूगर्भ
to spend time	बिताउनु
one count of	गन्न
the Huffington Post	सिएनएन
the Blazon of	ओढाई
international human rights	अन्तर्राष्ट्रिय मानव अधिकार
she arrived in	आएका उनी
began to use	प्रयोग गर्न थालेका
opened for the	लागि खोलिएको
Jones and the	पदम
not support the	कुनै पनि सहयोग
protests against the	विरुद्ध आन्दोलन
that the decision	निर्णयका
main street and	मुख्य चोकमा
Avenue in the	चोक र
in the Amazon	अमेजन
his film debut	डेब्यु फिल्म
the upper floor	माथिल्लो तलामा
in the domestic	घरेलू
the victims were	पीडित थिए
by the Houston	नेपालीज
and social development	र सामाजिक विकास
held the first	सम्पन्न पहिलो
began to make	सुरु गर्नु
to adhere to	अपनाउनु
the rules and	नियममा
party was founded	पार्टी स्थापना
of the judicial	र न्यायिक
trees and shrubs	रूखहरू
the angle of	दाया
the depths of	गहिराईमा
members and the	सदस्यहरु र
does not make	पनि गर्नु हुँदैन
status as the	हैसियतको
not believe that	नै मान्नु
the truth and	सत्य नै
laws and regulations	ऐन र
art and architecture	वास्तुकला
the company name	कम्पनीको नाम
every one of	पनि प्रत्येक
the new generation	नयाँ पुस्ताको
County and the	नगरपालिका र
time and place	समय र स्थान
signs of the	संकेतहरु
place and the	स्थान र
pushed back to	धकेल्दै
the second film	दोस्रो फिल्म
and his associates	सहयोगीहरु
the growth and	वृद्धिमा
is the closest	नजिकमा
mayor of London	काठमाडौं महानगरपालिकाको मेयर
and other social	र अन्य सामाजिक
in region 1	क्षेत्र २
in 1893 and	लायन्स
required to take	जानु आवश्यक
representations of the	स्वरूपलाई
maps of the	रेखाङ्कन
the sovereignty of	सार्वभौमसत्ताको
the library and	पुस्तकालय
the measurement of	मापन
work began in	काम पनि सुरु
world trade organization	विश्व व्यापार संगठनको
and the independent	र स्वतन्त्र
in the Imperial	पल्टन
to be presented	प्रस्तुत हुनु
more than twice	पटक भन्दा बढी
political and cultural	राजनीतिक र सांस्कृतिक
the floor and	तलामा
as a hero	योद्धा
of great importance	ठूलो महत्व
after the murder	पछि हत्या
can be placed	राखिएको हुन्छ
but these are	हुन्छन् तर
try to find	हराउनु
the International Council	अन्तर्राष्ट्रिय समन्वय परिषदको
due to increased	पनि बढेको
a few blocks	मुश्किलले
who were employed	कार्यरत थिए
the forests of	वनजंगल
and opened to	लागिएको र
and her two	उनी दुई
British Army and	बेलायती सेनामा
the bench for	बेन्चमा
one of my	मेरो एक
the indigenous peoples	समुदायहरुको
Argentine Primera División	लियोनल मेसीले
schools outside the	विद्यालय बाहिर
and other materials	र अन्य सामग्री
director of research	मुख्य अनुसन्धान निर्देशक
and the short	र छोटो
has a career	करिअरमा
government area in	क्षेत्र र सरकारी
a passenger train	यात्रुवाहक
South China sea	दक्षिण चीन सागरमा
Melbourne Football Club	धरान फुटबल क्लब
he defeated the	हारेका
and application of	प्रक्रिया र
than the one	भन्दा पनि एक
the NEW YORK	फ्युचर
want to make	त गर्नु नै
Guinness world record	गिनिज
the school closed	विद्यालय बन्द
electrification of the	विद्युतीकरण
appointed as minister	प्रधानमन्त्री नियुक्त
work from the	देखि काम
half a dozen	आधा दर्जन
song and dance	गीत र नृत्य
in the Missouri	भर्जिनिया
the four main	मुख्य चार
dancer and choreographer	डान्सर
and the special	र बिशेष
one of our	हाम्रो एक
the minimum wage	न्यूनतम ज्याला
convicted and sentenced	अभियोगमा जेल
food and agriculture	कृषि तथा खाद्य
of the Rhine	सिंजा
nearly two years	झण्डै दुई वर्ष
and these are	पनि हुन्छन्
the National Conference	राष्ट्रिय सम्मेलनको
than 40 years	२० वर्ष भन्दा
a small lake	ठूलो ताल
of the Qur	धर्मग्रन्थ
young age and	उमेर र
the most efficient	सबैभन्दा प्रभावकारी
remained a member	सदस्य रहने
a large role	पनि ठूलो भूमिका
peace and security	शान्ति सुरक्षा र
cut of the	काटिएको
son and two	दुई छोरा
removed and replaced	हटाइएको
continued to support	निरन्तर सहयोग
to the a	पर्ने एउटा
amount of water	मात्रामा पानी
international law and	अन्तर्राष्ट्रिय कानुन
and stayed there	जहाँ बसे पनि
swimming pool and	पौडी
in 1881 and	१९६६
the National Congress	राष्ट्रिय सभामा
the scientific name	वैज्ञानिक नाम
the processing of	प्रशोधन र
opted not to	पनि सकिएको छैन
to divide the	सिमाङ्कन
and ends with	मिलेपछि
the profession of	पेसाको
the instigation of	र तत्कालिन
and she and	र उनी पनि
be accessed from	थप्नुहोस
in the Disney	प्रिन्सेस
school and graduated	कलेजबाट
of Parliament of	प्रतिनिधिसभाका सांसद
to make money	पैसा खर्च गर्नु
education and science	शिक्षा विज्ञान
to become president	प्रधानमन्त्री बन्नु
President Vladimir Putin	राष्ट्रपति भ्लादिमिर
the security forces	सुरक्षा फौज
each and every	र प्रत्येक
the Aegean Sea	भूमध्य
economic and cultural	आर्थिक र सांस्कृतिक
of his retirement	निवृत्त
the door and	ढोका र
economic growth and	आर्थिक वृद्धिमा
and the global	र विश्वव्यापी
it hosted the	यो कार्यक्रममा
electrical and mechanical	मेकानिकल
continues to this	लागे पनि यो
the mughal empire	मुगल
to climb the	चढ्नु
Endowment for the	फाउन्डेसनलाई
approval for the	स्विकृत
is once again	हो भने फेरि
is the old	पुरानो हो
the copa libertadores	कोपा
2 is the	हो भने २
he was successful	उनी सफल
remained in this	रहे पनि यो
and other services	र अन्य सेवा
so successful that	पनि त्यो सफल
to reopen the	खोल्नु
she was very	उनी निकै
to fly to	उड्ने
passenger and freight	बन्दरगाहबाट
Paris and the	पेरिसमा
Sony Music Entertainment	फिल्मस्
and until the	देखि नै
plans to expand	विस्तार गर्ने योजना
money to pay	पैसा तिर्नु
mother and father	बुबा
the party leadership	पार्टी नेतृत्व र
open and the	र खुल्ला
the merging of	टुङ्ग्याउने
significant increase in	उल्लेख्य वृद्धि
after the construction	निर्माण पछि
the Milwaukee bucks	चौराहा
the management and	व्यवस्थापन र
in the tamil	तमिल
the parliamentary elections	प्रतिनिधिसभा निर्वाचन
the man is	मान्छे हो
county in masovian	तह थपिनुुपर्छ ः
the fortunes of	भबिस्य
that the final	तर अन्तिम
age of 35	४० वर्ष उमेर
regional and national	राष्ट्रिय तथा क्षेत्रीय
food and water	खाना र पानी
and rural development	ग्रामीण विकास
